"id";"seed_id";"cited_paper_id";"is_influential"
1326;976;1230;0
1327;976;1231;1
1328;976;1232;0
1329;976;1046;0
1330;976;1233;0
1331;976;1048;0
1332;976;1234;0
1333;976;1235;0
1335;976;1237;0
1337;976;1239;0
1338;976;1240;0
1339;976;1241;0
1340;976;1242;0
1341;976;1243;0
1343;976;1245;0
1344;976;1246;0
1345;976;1247;0
1346;976;1248;0
1347;976;1249;0
1348;976;1250;0
1349;976;1251;0
1350;976;1252;0
1351;976;1253;0
1352;976;1063;0
1353;976;1254;0
1354;976;1255;0
1355;976;1256;0
1356;976;1257;0
1357;976;1258;0
1358;976;1259;0
1359;976;1260;0
1360;976;1261;0
1361;976;1262;0
1362;976;1263;0
1363;976;1264;0
1364;976;1069;0
1366;976;1070;0
1367;976;126;0
1368;976;1071;0
1370;976;1267;0
1389;976;1286;0
1392;976;1289;0
1407;976;1302;1
1409;976;1304;0
1410;976;1305;0
1420;976;770;0
1434;1325;1326;0
1435;1325;1327;0
1436;1325;1328;0
1437;1325;1329;0
1444;1325;1336;0
1445;1325;1337;0
1447;1325;1339;0
1448;1325;1340;0
1451;1325;1343;0
1452;1325;1344;0
1453;1325;1345;0
1454;1325;1346;0
1455;1325;743;1
1456;1325;1347;0
1458;1325;1349;0
1460;1325;1351;0
1461;1325;1352;0
1462;1325;1353;0
1463;1325;1354;0
1464;1325;1355;1
1465;1325;1356;0
1466;1325;1357;1
1467;1325;1016;0
1469;1325;1359;0
1471;1325;1361;0
1472;1325;1362;0
1475;1325;1365;0
1478;1325;1368;0
1491;1325;770;0
1502;1124;1392;0
1504;1124;1394;0
1505;1124;1395;0
1506;1124;1396;0
1508;1124;1398;0
1509;1124;1399;0
1510;1124;1400;0
1512;1124;1402;0
1513;1124;1403;0
1514;1124;1404;0
1515;1124;1127;0
1517;1124;1406;0
1518;1124;1407;0
1519;1124;1408;0
1520;1124;1409;0
1521;1124;1410;0
1522;1124;1411;1
1523;1124;1412;0
1524;1124;1413;0
1526;1124;1415;0
1527;1124;1416;0
1528;1124;1417;0
1529;1124;1418;0
1530;1124;1419;0
1533;1124;1154;1
1534;1124;1422;0
1536;1124;1424;0
1537;1124;1016;0
1538;1124;1425;1
1540;1124;1427;0
1541;1124;1428;0
1542;1124;1429;0
1543;1124;1430;0
1544;1124;1431;0
1545;1124;1432;0
1546;1124;1433;0
1547;1124;1434;0
1549;1124;1436;0
1550;1124;1437;0
1551;1124;1229;0
1552;1124;1438;1
1553;1124;1439;0
1554;1124;1440;0
1555;1124;1441;0
1556;1124;1368;0
1557;1124;1249;0
1558;1124;1172;1
1560;1124;1443;1
1564;1124;1445;0
1571;1450;1451;0
1572;1450;1452;1
1573;1450;1453;0
1574;1450;1454;0
1575;1450;1455;0
1576;1450;1456;0
1577;1450;1457;0
1578;1450;1103;0
1579;1450;1458;1
1581;1450;1460;1
1582;1450;1461;0
1583;1450;1462;1
1586;1450;1465;1
1589;1450;1468;0
1590;1450;1469;1
1591;1450;1470;0
1592;1450;1471;1
1593;1450;1472;0
1594;1450;1473;0
1597;1450;1476;0
1598;1450;1477;0
1599;1450;1478;1
1600;1450;1479;0
1601;1450;1480;0
1602;1450;1481;0
1603;1450;1127;0
1604;1450;1482;0
1605;1450;1483;0
1606;1450;1484;1
1607;1450;1485;1
1608;1450;1486;0
1610;1450;1488;0
1612;1450;1490;0
1613;1450;1491;0
1614;1450;1492;1
1615;1450;1493;0
1616;1450;1494;0
1617;1450;743;0
1619;1450;744;0
1620;1450;1496;0
1623;1450;964;0
1624;1450;966;1
1626;1450;748;0
